event id	time of event (UTC)	dead time	decay time (ns)	1st chA height	1st chA position	1st chA integral	1st chB height	1st chB position	1st chB integral	1st chC height	1st chC position	1st chC integral	1st chD height	1st chD position	1st chD integral	2nd chA height	2nd chA position	2nd chA integral	2nd chB height	2nd chB position	2nd chB integral	2nd chC height	2nd chC position	2nd chC integral	2nd chD height	2nd chD position	2nd chD integral
20971	1748853752.6699853	0.025132275132275117	2266	256.02856	508	8851.615	277.0362	505	9021.654	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	80.093506	1073	2062.546	0.0	0	0.0
21053	1748853753.3589	0.020293122886133053	772	168.03027	505	5022.8794	312.86908	503	9558.502	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	60.28543	697	1901.7593	0.0	0	0.0
21866	1748853760.642685	0.01927194860813708	348	436.00824	507	14055.259	288.9856	505	9157.571	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	143.48547	593	4304.4844	0.0	0	0.0
21971	1748853761.4623702	0.024182076813655806	7784	208.03088	506	6595.223	177.5037	504	5438.083	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	145.6539	2451	4449.478	0.0	0	0.0	0.0	0	0.0
22149	1748853763.2076437	0.01965317919075149	11218	200.03384	507	6478.929	476.11652	504	14846.229	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	50.089203	3310	1264.5181	0.0	0	0.0	0.0	0	0.0
23393	1748853774.7026267	0.01819923371647514	1312	132.02817	504	4010.5972	165.55426	502	5029.327	222.7024	503	7395.9624	277.3745	503	9349.993	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	265.4558	831	7949.9106
23611	1748853776.9010272	0.022012578616352196	1913	156.0347	505	4803.0054	189.43774	504	5800.0884	254.39838	506	8308.842	205.81631	504	6537.6787	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	217.73499	983	6897.3306
23824	1748853779.0261161	0.01871921182266012	1492	292.01526	507	9715.048	185.46997	507	6013.0713	452.4637	508	14916.398	388.68726	506	12467.734	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	114.37317	880	3555.701
24075	1748853781.4845114	0.016775396085740968	3383	368.01794	508	12127.196	285.00244	506	9092.026	1000.0	508	33545.562	118.35629	507	3820.2495	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	317.12906	1353	9537.525
24744	1748853787.6325388	0.01725703905540421	1108	252.03001	506	7599.0547	273.05304	505	8804.013	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	159.32578	784	4835.7363	74.61859	781	1958.3687
24960	1748853789.8241408	0.01740812379110257	12174	168.03027	507	5298.8716	133.70447	503	3938.178	238.55807	505	7219.4893	150.15994	503	4360.299	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	130.27496	3548	3553.6082
25927	1748853799.071422	0.020022246941045596	1180	248.0315	508	8410.943	117.77191	506	3433.5173	480.2073	508	15075.23	265.4558	506	8029.743	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	277.3745	802	8459.1045
25983	1748853799.574862	0.020022246941045596	122	284.0182	506	9247.206	296.9519	505	14664.82	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	135.38077	536	8398.911	0.0	0	0.0	0.0	0	0.0
25994	1748853799.673752	0.020022246941045596	13843	264.02557	507	8510.876	173.52054	505	5275.741	341.5508	508	11009.673	185.93134	505	5792.6455	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	158.11084	3967	4499.1255
26361	1748853802.9614372	0.017946161515453585	4556	460.01477	508	14387.076	627.3991	506	20227.486	0.0	0	0.0	0.0	0	0.0	428.0112	1647	13527.191	129.72134	1645	3736.9753	0.0	0	0.0	0.0	0	0.0
27316	1748853812.0661273	0.02076124567474047	2686	296.02917	507	8922.927	360.65146	506	11145.149	0.0	0	0.0	0.0	0	0.0	184.02435	1179	5702.831	217.31976	1177	6732.2817	0.0	0	0.0	0.0	0	0.0
28266	1748853820.6612146	0.018458197611292082	14279	204.03235	507	6698.971	149.62167	504	4515.378	238.55807	506	7348.026	177.98044	505	5712.2607	292.01526	4076	9487.16	169.53741	4074	5206.9097	103.869354	4075	3338.7944	74.61859	4076	2435.5754
